MB_2016_PID|DATE_CREATED|DATE_RETIRED|MB_2016_CODE
MB1680035670000|2017-07-07||80035670000
MB1680035680000|2017-07-07||80035680000
MB1680035690000|2017-07-07||80035690000
MB1680035700000|2017-07-07||80035700000
MB1680035710000|2017-07-07||80035710000
MB1680035720000|2017-07-07||80035720000
MB1680035730000|2017-07-07||80035730000
MB1680035740000|2017-07-07||80035740000
MB1680035750000|2017-07-07||80035750000
MB1680035760000|2017-07-07||80035760000
MB1680035770000|2017-07-07||80035770000
MB1680035780000|2017-07-07||80035780000
MB1680035790000|2017-07-07||80035790000
MB1680035800000|2017-07-07||80035800000
MB1680035820000|2017-07-07||80035820000
MB1680035830000|2017-07-07||80035830000
MB1680035840000|2017-07-07||80035840000
MB1680035850000|2017-07-07||80035850000
MB1680035860000|2017-07-07||80035860000
MB1680035870000|2017-07-07||80035870000
