ADDRESS_MESH_BLOCK_2021_PID|DATE_CREATED|DATE_RETIRED|ADDRESS_DETAIL_PID|MB_MATCH_CODE|MB_2021_PID
ACT1564200655|2021-08-10||GAACT714846519|1|MB2180006120000
ACT1564200656|2021-08-10||GAACT714846520|1|MB2180006170000
ACT1564200657|2021-08-10||GAACT714846521|1|MB2180006120000
ACT1564200658|2021-08-10||GAACT714846522|1|MB2180006170000
ACT1564200659|2021-08-10||GAACT714846523|1|MB2180006331000
ACT1564200660|2021-08-10||GAACT714846524|1|MB2180006290000
ACT1564200661|2021-08-10||GAACT714846525|1|MB2180006331000
ACT1564200662|2021-08-10||GAACT714846526|1|MB2180006331000
ACT1564200663|2021-08-10||GAACT714846527|1|MB2180006290000
ACT1564200664|2021-08-10||GAACT714846528|1|MB2180006230000
ACT1564200665|2021-08-10||GAACT714846529|1|MB2180006290000
ACT1564200666|2021-08-10||GAACT714846530|1|MB2180006331000
ACT1564200667|2021-08-10||GAACT714846531|1|MB2180006290000
ACT1564200668|2021-08-10||GAACT714846532|1|MB2180006290000
ACT1564200669|2021-08-10||GAACT714846533|1|MB2180006290000
ACT1564200670|2021-08-10||GAACT714846534|1|MB2180006230000
ACT1564200671|2021-08-10||GAACT714846535|1|MB2180006190000
ACT1564200672|2021-08-10||GAACT714846536|1|MB2180006190000
ACT1564200673|2021-08-10||GAACT714846538|1|MB2180006480000
ACT1564200674|2021-08-10||GAACT714846539|1|MB2180006190000
