CODE|NAME|DESCRIPTION
1|PARCEL LEVEL MATCH|A parcel level geocode for the address has been applied and clearly within the boundaries of a single mesh block.  The mesh block ID allocated to the address in most cases is at a very high level of confidence.
2|GAP GEOCODED ADDRESS LEVEL MATCH|A gap geocoded match for the address has been applied and clearly within the boundaries of a single mesh block.  The mesh block ID allocated to the address in most cases is at a high level of confidence.
3|STREET LOCALITY LEVEL SINGLE MATCH|A street-locality level geocode for the address has been applied and clearly within the boundaries of a single mesh block.  The mesh block ID allocated to the address in most cases is at a high level of confidence.
4|STREET LOCALITY LEVEL MULTIPLE MATCH|A street-locality level geocode for the address has been applied and is within the boundaries of a multiple mesh blocks.  The mesh block ID allocated to the address is at a low level of confidence.
5|LOCALITY LEVEL MULTIPLE MATCH|A locality level geocode for the address has been applied and is within the boundaries of a multiple mesh blocks.  The mesh block ID allocated to the address is at a very low level of confidence.
